temp_c,precp_cm,biome_id,biome
-7.96812730302533,11.0568539847182,6,Tundra
-8.01961180087779,10.7286919168107,6,Tundra
-8.06260943037529,10.4589030331605,6,Tundra
-8.07689816227381,10.3705948826175,6,Tundra
-8.14723402257845,9.86263592345629,6,Tundra
-8.36777994226301,8.4996594897585,6,Tundra
-8.66498932100359,6.92545445020693,6,Tundra
-8.9545379867158,5.62739947464134,6,Tundra
-9.2226253901941,4.59408185716531,6,Tundra
-9.45533832468843,3.8112824887931,6,Tundra
-9.63870725467646,3.26833703778541,6,Tundra
-9.75881152058623,2.95149185648271,6,Tundra
-9.75898795972493,2.95102639515652,6,Tundra
-10.2160020653883,1.60713350246589,6,Tundra
-4.07740512122421,108.104330841247,7,Boreal forest
-3.851808388293,110.979397259454,7,Boreal forest
-3.18803013589316,119.978035218488,7,Boreal forest
-2.25590161241111,132.5454824394,7,Boreal forest
-1.26530382331542,145.715183763274,7,Boreal forest
-0.472006947215245,156.08353352342,7,Boreal forest
-0.2048020278358,159.519132185327,7,Boreal forest
-0.0912807754594294,160.979397259454,7,Boreal forest
0.265111366676841,165.24307192624,7,Boreal forest
0.767000727579978,170.771124731521,7,Boreal forest
1.29898842913136,176.127612761276,7,Boreal forest
1.85945971319267,181.340038765781,7,Boreal forest
2.44696880794236,186.434595840536,7,Boreal forest
3.05945032506396,191.435606145649,7,Boreal forest
3.6955899265379,196.373004647404,7,Boreal forest
4.18790339615556,200.060618306729,7,Boreal forest
4.35350998662192,201.271113505908,7,Boreal forest
4.28065810782266,199.665850938835,7,Boreal forest
4.07149060013613,194.812644529759,7,Boreal forest
3.8503062876992,188.610493702431,7,Boreal forest
3.68488745980708,182.821819596926,7,Boreal forest
3.53805712676321,177.411074440777,7,Boreal forest
3.4323467974746,172.505481840701,7,Boreal forest
3.36005820639801,168.204201372518,7,Boreal forest
3.28401436383693,164.306107481496,7,Boreal forest
3.24214330978478,161.90251678229,7,Boreal forest
3.22430586523342,160.690711928336,7,Boreal forest
3.13906165653531,155.729739640631,7,Boreal forest
3.08742694862347,150.057063529482,7,Boreal forest
3.04410880562321,144.354268041992,7,Boreal forest
3.01851808388293,140.985271996587,7,Boreal forest
2.97138967775249,133.483195258301,7,Boreal forest
2.9096157908325,125.734155048158,7,Boreal forest
2.84558875302181,114.357371111261,7,Boreal forest
2.80841176332528,107.059226330796,7,Boreal forest
2.78850893045744,104.124102886479,7,Boreal forest
2.7686060975896,99.8918599342927,7,Boreal forest
2.74062947403009,95.4220081872133,7,Boreal forest
2.70007275799751,90.7630048719157,7,Boreal forest
2.6418663599878,85.9659265246252,7,Boreal forest
2.56131621564532,81.0801658397132,7,Boreal forest
2.45354049804023,76.1551155115512,7,Boreal forest
2.31365738024269,71.2401682345105,7,Boreal forest
2.13697279789706,66.3860263577378,7,Boreal forest
